recipe_id,recipe_name,han_score_raw,han_score
300,Black Eyed Bean Lemon Bruschetta Recipe,0.032646112,0.76501757
301,Creamy and Delicious Fruit Custard Recipe,0.035907842,0.8072332
302,Pachai Payaru Poriyal Recipe - Green Moong Sprout Poriyal,0.030450236,0.73659694
303,Mango Buckwheat Porridge Recipe,0.030028382,0.73113704
304,Masala Roti Recipe-Soft and Spicy Indian Flat Bread,0.036485795,0.8147135
305,Chana Kanghou Recipe - Manipuri Style Kala Chana Sabzi,0.03647193,0.814534
306,Sri Lankan Eggplant Curry Recipe,0.03317442,0.7718553
307,Peanut Chilli Dipping Sauce Recipe,0.025898747,0.6776883
308,Kale Blue Cheese And Cranberry Quiche Recipe,0.028286763,0.7085957
309,Baby Corn Capsicum Masala Recipe,0.033969115,0.7821408
310,One Pot Chicken Nasi Goreng Recipe,0.03423408,0.7855702
311,Mexican Brown Rice and Quinoa Casserole Recipe,0.034275115,0.7861013
312,Pesara Pappu Pulusu Recipe,0.033528455,0.77643746
313,Succotash Recipe,0.03442404,0.7880288
314,Karnataka Style Bassaru Palya Recipe - Toor Dal And Dill Leaves Stir Fry,0.0374507,0.827202
315,Thengai Paal Kurma Recipe - Mixed Vegetables In Coconut Gravy,0.037098665,0.82264566
316,Sepu Vadi Recipe (Himachali Split Urad Dal Dumplings In Spinach Gravy),0.031623032,0.7517761
317,Gluten Free Rice Flour Pizza Crust With Roasted Vegetables and Feta Cheese Recipe,0.029876653,0.72917324
318,Moong Bean Sprouts Upkari Recipe - Moong Beans Stir Fry,0.033890653,0.7811253
319,Asian Style Stuffed Omelette Recipe,0.032503217,0.7631681
320,Uttarakhand Aloo Ke Gutke Recipe,0.0334443,0.77534825
321,Cheesy & Spicy Pull Apart Bread Recipe With Indian Spices,0.036009397,0.8085476
322,Kadai Mushroom Recipe,0.036533065,0.81532526
323,Tomato Sheer Recipe -Tomato And Coconut Curry Recipe,0.035008773,0.7955968
324,Mirchi Ke Tipore Recipe - Green Chilli Stir Fry,0.032374717,0.76150495
325,Mexican Style Vegetarian Chimichanga Recipe-Deep Fried Burrito,0.0334948,0.7760019
326,Authentic Punjabi Mango Pickle (With Mustard Oil) - No Sun Required Aam Ka Achar,0.03604063,0.80895185
327,Chenakayi Erissery Recipe - Yam Erissery,0.035679314,0.80427545
328,Quick Creamy Pea Soup Recipe,0.03039559,0.7358897
329,Vegetable Coconut Milk Soup With Vermicelli Noodles Recipe,0.03480004,0.79289526
330,"Carrot, Roasted Pumpkin Seeds, Granola Savory Parfaits Recipe",0.03572896,0.804918
331,Ayala Fish Fry Recipe,0.016325235,0.55378103
332,Bloomed Potato Cheesy Muffins Recipe,0.036575712,0.8158772
333,Grilled Herring With Kasundi Mustard And Wild Celery Recipe,0.015757293,0.5464303
334,Karnataka Style Avarekalu Pulao Recipe - Avarekalu Pulao,0.03520513,0.7981382
335,Kathiyawadi Stuffed Onion Recipe,0.035076577,0.7964744
336,Bangalore Restaurant Style Sambar Recipe - For Idlis,0.034570485,0.78992414
337,Andhra Style Pachi Pulusu Recipe -Raw Tamarind Rasam,0.034202363,0.78515965
