final_food_name,best_match_clean,matched_original_name,composite_score,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg)
Tomato chicken,tomato chicken,Tomato chicken,98.77,111.68,2.13,10.57,6.71,1.42,104.83,21.24,0.87,24.53,24.19
Tandoori chicken,tandoori chicken,Tandoori chicken,98.77,145.2,2.34,16.26,7.93,0.5,158.0,44.33,0.9,39.53,182.73
Kashmiri masala,kashmiri masala,Kashmiri masala,98.77,389.02,23.16,8.26,31.03,12.12,3106.14,303.49,14.72,,
Cucumber raita (Kheere ka raita),cucumber raita,Cucumber raita (Kheere ka raita),98.77,59.13,6.35,4.04,2.08,0.86,189.96,138.58,0.29,5.65,26.92
Vegetable biryani/biriyani,vegetable biryani biriyani,Vegetable biryani/biriyani,98.74,174.61,18.56,3.16,9.51,3.31,183.79,33.52,0.86,39.35,77.54
Shahi chicken masala,shahi chicken masala,Shahi chicken masala,98.58,163.7,4.07,9.82,12.02,0.96,142.56,82.68,0.89,9.92,65.41
Stuffed brinjal (Bharwa baingan),stuffed brinjal,Stuffed brinjal (Bharwa baingan),97.99,93.0,3.96,1.53,7.73,4.09,212.88,24.37,0.75,1.13,17.11
Vegetable poha,vegetable poha,Vegetable poha,97.99,180.52,21.52,4.89,8.07,3.76,418.02,28.01,1.92,7.21,21.79
Pav bhaji masala,pav bhaji masala,Pav bhaji masala,97.97,230.47,29.15,9.13,10.96,24.3,1814.66,588.91,12.84,0.06,0.21
Spanish omelette/omlet,spanish omelette omlet,Spanish omelette/omlet,97.75,157.45,5.1,8.25,11.44,2.54,233.87,31.72,1.28,28.63,61.18
