recipe_id,recipe_name,expiry_score
1896,Arbi Shimla Mirch Sabzi Recipe – Colocasia Capsicum Sabzi,1.0
1321,Turai Moong Dal Recipe - Turia Mag Ni Dal,1.0
4328,Green Apple Rasam Recipe,1.0
16549,Bengali Aloo Potol er Dalna Recipe - A Traditional Vegetable Side Dish,1.0
11030,Andhra Steel Tomato Knock Recipe (Tomato Chutney),1.0
4341,Turai Moong Dal Recipe - Turia Mag Ni Dal,1.0
10991,Cauliflower Leaves Chutney (Recipe in Hindi),1.0
770,Nellikai Rasam Recipe - Whole Gooseberry Rasam,1.0
3731,Onion Palya Recipe - Vengaya Poriyal Recipe,1.0
12765,Spinach Rice Recipe - Palak Pulao,1.0
3395,Spiced Watermelon Curry Recipe With Carrots & Peppers,1.0
14711,Mini Rava Idli With Tomato Chutney Recipe,1.0
7146,Murungakkai Vendhaya Keerai Sambar Recipe-Drumstick & Fenugreek Greens Sambar,1.0
7151,Chaal Kopi Recipe - Bengali Style Cauliflower Stir Fry,1.0
7153,"Kala Chana Salad Recipe With Carrots, Cucumber & Tomatoes",1.0
14712,Cheesy Paneer Masala Curry Recipe,1.0
13782,Chettinad Style Pepper Mushroom (Recipe In Hindi),1.0
14726,Red Capsicum Chutney Recipe - Red Bell Pepper Chutney,1.0
13780,Green Tomato Vegetable Recipe - Raw Tomato Curry,1.0
13778,Neem Flower Rasam (Recipe In Hindi),1.0
14738,Ande Ka Salan Recipe - Tangy Egg Masala in Peanut Gravy,1.0
2757,Achari Paneer Mini Bread Bowl With Cheesy Twist Recipe,1.0
7220,Mixed Vegetable Sambar Recipe - Tangy Lentil Curry With Vegetables,1.0
18141,Chicken Tikka Masala Recipe,1.0
7223,Tangy Red Purifier - Tomato Beetroot Juice Recipe,1.0
18129,Sundakkai And Methi Leaves Sambar Recipe,1.0
14742,Vegetable Ragi & Oats Uttapam Recipe,1.0
14770,Karnataka Style Tamarind Gojju Recipe,1.0
3275,Cabbage Tomato Pachadi Recipe,1.0
365,Pata Gobi Aur Kele Kofta Curry Recipe - No onion No Garlic,1.0
7121,Spicy Tomato Uttapam With Garlic Recipe,1.0
14710,Broccoli Malai Kofta Recipe,1.0
312,Pesara Pappu Pulusu Recipe,1.0
13850,Saag Tofu Recipe (Tofu Simmered in Spiced Mustard & Spinach Leaves),1.0
18272,Roasted Bell Pepper Rasam Recipe,1.0
7019,Spinach Rice Recipe - Palak Pulao,1.0
18270,Pudina Rasam Recipe - Mint Leaves Rasam,1.0
7044,Spiced Watermelon Curry Recipe With Carrots & Peppers,1.0
18268,Elaneer Rasam Recipe - Tender Coconut Rasam,1.0
13892,Kadai Chole Recipe- Dry Chickpeas Masala with Capsicum,1.0
14659,Lemon Thyme Rasam Recipe,1.0
